"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested"
"MFAP4",1.8779,5.24472530201246e-09,3.54137387166854e-07,0.862,0.602,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ZNF710-AS1",-1.8776,0.00357474473894878,0.023960982126095,0,0.231,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"GABPA",-1.876,0.00788679738718072,0.0413957981214812,0,0.199,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CCND3",1.8747,0.000859592013059503,0.00895907645286771,0.586,0.492,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC17A9",-1.8732,6.13850760701244e-07,2.34473067937928e-05,0.138,0.684,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DPT",1.8726,2.79573672545943e-07,1.17510765335977e-05,0.69,0.356,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RNF43",-1.8706,0.00809473240489021,0.0421503421838835,0,0.198,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DPH5",-1.8694,0.00662370810268933,0.0368939483782579,0,0.206,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"WDR5",-1.8688,0.000700593981268005,0.00780044319994781,0.034,0.352,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BBS4",-1.8683,0.00440208546425574,0.0276378083196764,0,0.223,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"GSTP1",1.8637,2.72579373114408e-11,3.80375429202052e-09,0.931,0.737,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC011043.1",-1.8636,0.0034153540497411,0.0231210190715332,0,0.233,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LDHB",1.8561,3.41182974796344e-05,0.000728738982493578,0.586,0.35,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IGKC",1.8555,6.20328977813036e-11,7.54925939743167e-09,0.966,0.986,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C1orf115",-1.8545,5.69198938608098e-06,0.000163660332183306,0.069,0.557,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"POMGNT2",-1.8529,0.00692031395298439,0.0378910544943318,0,0.204,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NR2F2",1.8437,0.00136589453030384,0.012217872911279,0.586,0.517,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PIPOX",-1.8433,1.02148055441661e-08,6.47928211062077e-07,0.31,0.883,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C4BPB",-1.8424,2.36544705226038e-10,2.31371671485581e-08,0.345,0.883,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"UNC93B1",1.8405,1.13422762759474e-06,4.04607338012283e-05,0.724,0.495,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RAD1",-1.8396,0.00540669724765476,0.031915675913116,0,0.214,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC17A2",-1.8383,0.000392384057773747,0.00497780793776975,0.034,0.375,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TRIM55",-1.8371,0.00424636424919653,0.0269511511413529,0,0.224,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC103591.3",1.8331,0.00397263309557193,0.0256968961546699,0.345,0.179,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ERMP1",-1.8326,0.00710422162387154,0.0385647217403732,0,0.203,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC30A1",-1.8313,5.77509039201846e-07,2.23051973869788e-05,0.103,0.671,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LMTK2",-1.831,0.00617385848497996,0.0350790460932683,0,0.209,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RMND1",-1.8289,0.00722936790731555,0.039015329318971,0,0.202,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BPGM",-1.8285,0.00367370228469185,0.0244120432454507,0,0.23,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DNHD1",-1.8168,0.00472974421045072,0.0289313284082859,0,0.22,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ATG14",-1.8165,0.0050350926690981,0.0302857930314832,0,0.217,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"APOF",-1.816,2.72248242313581e-05,0.000603675869502954,0.103,0.562,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TTI1",-1.8142,0.00508019523441435,0.0305219996115847,0,0.217,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SMOC1",-1.8129,1.48648915181897e-05,0.000362647912888983,0.069,0.538,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CPLX1",-1.8125,0.001783156785409,0.014718074854961,0.034,0.323,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ANGPTL3",-1.8121,3.59880004186803e-13,1.14136488600578e-10,0.586,0.952,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"U2AF2",-1.8121,0.000310928781849043,0.00416668454651995,0.034,0.384,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IGSF9",-1.8106,0.00380964848088897,0.0249510519405407,0,0.228,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"YPEL3",1.8076,0.000662395395206646,0.00749633354900238,0.621,0.493,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NR1I2",-1.8071,0.00462313982188143,0.0285125405868067,0.034,0.275,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CHCHD1",-1.8049,1.69289217661232e-06,5.70455584042237e-05,0.138,0.68,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DHRS11",-1.8039,0.00686001232845279,0.0378012488623372,0,0.205,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CYP4F11",-1.8032,2.18948091719834e-06,7.22874046668701e-05,0.069,0.595,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RBKS",-1.7985,0.000244843236217068,0.00344889543774944,0.034,0.393,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RDH13",-1.7969,0.00692031396874354,0.0378910544943318,0,0.204,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RTL10",-1.7965,0.00628354887529883,0.0355286993673028,0,0.208,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PNPT1",-1.7956,0.00545491770242343,0.0321278383081394,0,0.214,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ADAMTSL2",1.7908,5.44020858717918e-10,4.82518839605231e-08,0.931,0.753,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TM4SF20",-1.7844,0.000260749204186954,0.00361457108744458,0.034,0.392,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ZFP36L2",1.784,4.37085037540615e-11,5.71816500362509e-09,0.931,0.796,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LINC00844",-1.7831,0.000215171222955499,0.00311908866960146,0.069,0.449,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NSUN5",1.7778,5.45036282019597e-06,0.000157578721757378,0.69,0.531,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DKK3",1.7765,0.00471680375899541,0.028869045696869,0.448,0.299,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CSRNP1",1.776,0.00247006369097257,0.0183997769321843,0.517,0.378,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MTFMT",-1.7694,0.00601269050595924,0.034335282070286,0,0.21,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TSPY2",-1.7677,0.00409582479865807,0.0262664843405955,0,0.226,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"KCTD12",1.7668,0.00207794055172121,0.0163271214822179,0.483,0.315,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC2A13",-1.7661,0.00452237683766761,0.0280438177048068,0,0.222,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TRMT1L",-1.7647,0.00874990151199007,0.044154517466002,0,0.194,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MAPRE1",-1.763,0.00443735080597812,0.0277355502175003,0.069,0.333,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AGMO",-1.7554,0.000173494598088498,0.00264307782182564,0.034,0.406,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DEPDC7",-1.7517,0.00513582040304202,0.0307678857116415,0.034,0.271,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ADGRE5",1.7491,0.000172273622658562,0.00262830282032728,0.621,0.422,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SHMT1",-1.7485,2.44516070550675e-09,1.8279322817024e-07,0.414,0.87,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ZNF195",-1.7471,0.00729271524609843,0.0392823251495966,0,0.202,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"H2AFY2",-1.7471,0.00374109591844097,0.0247186299762646,0,0.229,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C6orf203",-1.7469,0.00674088729760259,0.0373874544020714,0,0.205,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LTBP4",1.745,5.41426690841217e-07,2.11439244266574e-05,0.828,0.696,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CYP3A7",-1.7408,1.44864002155233e-07,6.73842954025186e-06,0.379,0.851,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TRIM21",-1.7393,0.00560201333165344,0.0327362766773227,0,0.213,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DNAJC30",-1.7382,0.000811688810151908,0.00870223188450915,0.034,0.349,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IQGAP2",-1.7348,1.1365809036462e-06,4.04607338012283e-05,0.138,0.694,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CDAN1",-1.7304,0.00716653800879555,0.0388023729800648,0,0.203,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ZNF516",-1.73,0.0072927151964483,0.0392823251495966,0,0.202,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TUBGCP3",-1.7278,0.00680020467520271,0.0376167770246678,0,0.205,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IGHG3",1.7247,7.80399685591476e-07,2.89633443595758e-05,0.897,0.869,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DOCK4",-1.7211,0.00650844488661099,0.0365240665862041,0,0.207,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BET1L",-1.7209,0.000100832953726227,0.0017385793965382,0.069,0.476,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PRR5",1.72,0.00802556132120219,0.0419361781569952,0.414,0.264,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PRKD2",1.7185,0.000952271333278392,0.00949187788008728,0.586,0.489,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HSBP1L1",-1.7183,6.44807819397278e-05,0.00122478378181704,0.069,0.495,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MRPL49",-1.7178,0.000189510260396814,0.00282537661725506,0.034,0.403,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MTHFS",-1.7149,4.8119107924501e-07,1.90763099824935e-05,0.207,0.763,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PHF13",-1.7133,0.00852616338991152,0.043469373371895,0,0.196,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MRPL15",-1.7127,1.58133102936842e-05,0.000383976470996912,0.069,0.542,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C15orf61",-1.7098,0.00156398434574178,0.0135278183161434,0.069,0.378,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IGF1",-1.7093,0.00015068889922354,0.00237159401394521,0.069,0.463,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BICRA",-1.708,0.00570213789247326,0.033107419602003,0,0.212,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"USP10",-1.7049,0.00115451289998105,0.010866125909354,0.034,0.339,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IAH1",-1.6987,5.01497243210756e-05,0.00100549236541068,0.069,0.503,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PON3",-1.6979,2.50279157925311e-07,1.07353347001898e-05,0.172,0.781,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DECR1",-1.6951,1.70108343771688e-07,7.6739393358383e-06,0.241,0.806,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"EBNA1BP2",-1.691,9.31962669122541e-06,0.000243239932544552,0.103,0.585,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DEPP1",1.6867,1.1083004920534e-07,5.39510369759578e-06,0.828,0.689,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC44A2",1.6848,0.000197407186729593,0.0029058560004387,0.586,0.411,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IFT43",-1.6838,1.23733213066316e-05,0.000309806652620112,0.034,0.488,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RALGAPA1",-1.682,0.00897915387277505,0.0451589739804222,0,0.193,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"UNC93A",-1.6803,0.00083177420103312,0.00878238740992984,0.034,0.349,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AUH",-1.6783,0.00324850102936307,0.0222651026675271,0.034,0.29,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"UNC5CL",-1.6779,0.00440196226242881,0.0276378083196764,0.034,0.287,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"GLTPD2",-1.6774,0.000830903418535812,0.00878238740992984,0.069,0.394,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PHLDB3",-1.6763,7.6028232517018e-05,0.00139034154010407,0.069,0.486,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ANXA4",1.6752,5.10725547490474e-06,0.000149308759218863,0.793,0.772,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LAPTM5",1.6747,7.96211566794923e-06,0.000215884721711805,0.793,0.808,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TMEM189",-1.6719,0.000563991423912238,0.00663974605474183,0.069,0.412,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MICALL2",1.6685,0.000899768221070656,0.00919412263838121,0.586,0.446,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ACSS3",-1.6657,0.000658059113349047,0.0074698987855869,0.069,0.409,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DDX18",-1.6653,0.000188149206310572,0.00281712388161151,0.034,0.403,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TINAGL1",1.6648,2.06739051379191e-05,0.000484056132379108,0.655,0.428,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LDAH",-1.6645,0.00874990145312264,0.044154517466002,0,0.194,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC25A37",-1.6644,0.00502676667875816,0.030270506363569,0.034,0.273,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CLGN",-1.6638,0.00517154063358841,0.0308939561569314,0,0.216,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"JADE2",1.6623,0.00517162346521534,0.0308939561569314,0.379,0.231,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SMC6",-1.6622,0.000483939464582967,0.00588943073991317,0.034,0.37,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SIPA1",1.6622,0.00018842219266229,0.00281718095486219,0.655,0.541,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CUX2",-1.6592,0.000767831587526057,0.00830178243290053,0.034,0.356,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"EGFL7",1.6584,2.90405912345935e-06,9.15478397172456e-05,0.793,0.715,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ARID5A",1.6578,0.000912832080051163,0.00926644088245924,0.621,0.548,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LAMC3",1.6575,9.7438153173834e-08,4.85613195770165e-06,0.828,0.731,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"EVL",1.6531,0.000996865946856181,0.00977898174629744,0.655,0.668,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PLS1",-1.6527,0.00970129031891441,0.0477356391526837,0,0.19,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NDUFAF6",-1.6514,0.000632702747742868,0.00724493102612348,0.034,0.36,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MTMR1",-1.6512,0.00874990147274513,0.044154517466002,0,0.194,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"KRT7",1.6467,0.00467002529517574,0.0287487138539983,0.552,0.484,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"WIPI1",-1.6413,0.00897915391298095,0.0451589739804222,0,0.193,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"EIF1AY",-1.6346,0.000116822488518751,0.00193837217292913,0.069,0.476,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PRKAA2",-1.6336,0.00795554444835582,0.0416521901933427,0,0.198,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FXYD5",1.6312,0.000671488481152704,0.00756490682857287,0.655,0.604,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"VIM",1.6308,5.44833725028235e-11,6.78836876922084e-09,0.931,0.942,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC22A3",-1.6294,0.000459673309641812,0.00564664420036526,0.034,0.371,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TP53RK",-1.6289,0.0102127074605474,0.0496178879484765,0,0.188,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"KRT23",-1.6248,0.000178276006497144,0.00270019780607685,0.138,0.539,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NTAN1",-1.6245,0.00092971784074303,0.00935701525476177,0.069,0.391,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HGD",-1.6234,1.58359909803643e-07,7.17486933335466e-06,0.31,0.843,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
