"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested"
"DDAH1",-0.9179,0.000520162009410878,0.00624030560941803,0.31,0.732,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C5",-0.9173,2.84679950643935e-06,9.05611052717151e-05,0.621,0.949,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SMU1",-0.9171,0.00857131931007825,0.0435614025040832,0.034,0.261,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AGXT",-0.9159,6.12737689068267e-09,4.0080704086178e-07,0.931,0.987,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PRAMEF15",-0.9129,0.00688516699585967,0.037862149244617,0.034,0.27,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NDUFV2",-0.9123,2.38430899973316e-05,0.000544851047842953,0.552,0.927,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ENDOG",-0.9113,0.00256943518139943,0.0189244958539946,0.103,0.426,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IFI27",0.91,0.00197189278108499,0.0157661037790951,0.759,0.774,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"EMID1",-0.9087,0.00177164179081573,0.0146461318978495,0.069,0.388,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LRP10",0.908,0.00225684894159566,0.0173295532081733,0.69,0.675,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PGM1",-0.9079,0.00112995594689318,0.0107217760110462,0.345,0.79,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
