"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"HMSD",4.0783,3.69715911739524e-07,8.80777590108702e-06,0.073,0.005,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.00710075026795247,0.667231897930995,0.175723199833931,"Not structured"
"PLA2G2D",4.0783,1.17791786229719e-21,1.00460688082453e-18,0.293,0.024,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.251411579799075,8.1436572704472e-57,56.0891805121053,"Weakly structured"
"TMEM200C",4.0783,5.02069857652272e-08,1.44336622223495e-06,0.073,0.004,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0288474646464644,0.0268571043181649,1.57094081394708,"Weakly structured"
"CCL22",4.072,1.49947858074515e-30,3.19713824724546e-27,0.415,0.034,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.224401377356306,1.08655923853214e-45,44.9639465912337,"Weakly structured"
"FUT7",4.0376,4.15416829528521e-09,1.4844769553515e-07,0.098,0.007,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.018645357686453,0.112619241126909,0.948387403433533,"Not structured"
"PAX5",3.9681,6.59540961510077e-17,1.24080992949977e-14,0.195,0.013,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.101239716119696,9.75285166474291e-11,10.0108683811029,"Weakly structured"
"BANK1",3.9527,9.53344401788199e-32,3.04903373301911e-28,0.415,0.032,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0900594909459265,1.08386242978127e-08,7.96502583751937,"Weakly structured"
"FCRLA",3.9527,5.28246131696357e-28,6.7578527627915e-25,0.39,0.033,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.157994429424874,3.21017777807462e-23,22.4934709159132,"Weakly structured"
"GREM1",3.9451,2.27840686084543e-36,9.71588632359853e-33,0.732,0.106,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.402354379479183,4.02050724661245e-139,138.395719150769,"Spatially structured"
"CTSE",-3.9441,3.88008117968221e-09,1.40617219636472e-07,0.073,0.556,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.456211929830362,1.39349972447737e-176,175.855893112819,"Spatially structured"
