"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","spatial_class"
"ACTR5",2.6984,0.000119121166145613,0.00646333619848578,0.135,0.029,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0166440483918486,0.881394861221629,"Not structured"
"ADGRB3",2.6763,0.00159247977638135,0.0442565111373437,0.081,0.015,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0834378256696068,0.891133151808677,"Not structured"
"ATRIP",2.656,0.000260343384095669,0.0115361046197059,0.162,0.043,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0759650216758081,0.32864669687242,"Not structured"
"SEMA3C",2.6546,3.54785870204798e-05,0.00257252009159406,0.162,0.036,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.00046258993589563,0.772919399504826,"Not structured"
"HHIPL1",2.6155,0.000149348121930901,0.00750673805287083,0.108,0.02,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0830444057973179,0.891133151808677,"Not structured"
"ITPR3",2.6153,0.000499742568990227,0.0185612847746145,0.135,0.033,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0855585128587124,0.245855260668725,"Not structured"
"COL9A3",2.6121,0.000285356924687257,0.0122554154200708,0.108,0.021,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0763935713294758,0.891133151808677,"Not structured"
"IGSF10",2.6049,0.000646645031149434,0.0227208844425017,0.135,0.034,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.052137561468429,0.462873846916042,"Not structured"
"ARSK",2.5831,0.000139694305108072,0.00721085006509855,0.135,0.029,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0625776801286615,0.891133151808677,"Not structured"
"NLRP3",2.5756,0.00120550957122942,0.0361220427259494,0.081,0.015,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.236580036571862,0.00154982665695253,"Weakly structured"
"ZC3H12D",2.5376,0.00076040241538376,0.0257584326506544,0.135,0.035,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.223966566397426,0.00622732015112214,"Weakly structured"
"RFWD3",2.5272,5.22546933554661e-05,0.00347319528502664,0.162,0.037,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0330126409218092,0.891133151808677,"Not structured"
"MUC5B",2.5099,0.00101173022409852,0.0320220645532136,0.081,0.015,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.03774021817881,0.514824874004888,"Not structured"
"MYLIP",2.4484,0.000592496670350244,0.0212481134623723,0.162,0.046,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0411733005383049,0.891133151808677,"Not structured"
"ABCB9",2.3996,0.00116909891492203,0.0357269461510271,0.108,0.025,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.00884428950637475,0.73081706892018,"Not structured"
"PBDC1",2.385,0.000495455101731695,0.0185528163916056,0.189,0.059,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0733643151383092,0.349721072099728,"Not structured"
"DUSP2",2.3624,3.77663432099217e-06,0.000412636100605939,0.162,0.03,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0586169731955158,0.444619727744527,"Not structured"
"SLAMF7",2.3529,3.67466944536592e-06,0.000407071715225535,0.27,0.075,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.059474779156254,0.891133151808677,"Not structured"
"HNRNPA1P48",2.3183,0.00030010819361502,0.0128003366431733,0.162,0.043,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.167228106561822,0.961807091999766,"Not structured"
"ITGAX",2.2867,1.80474059598192e-05,0.00150004803960953,0.189,0.044,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.030942110023221,0.891133151808677,"Not structured"
"CCL4L2",2.2803,3.01642383343537e-06,0.000353808771992361,0.27,0.074,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0924453178576897,0.25821363622316,"Not structured"
"ARHGEF6",2.2419,0.00066596504346648,0.023297092924073,0.162,0.046,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0910032093158688,0.250327886702347,"Not structured"
"CCL3",2.24,6.39003762021485e-06,0.000653422308446586,0.324,0.106,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0984015640929146,0.8935812524372,"Not structured"
"CD83",2.2016,7.07832705824074e-06,0.00070274984632758,0.216,0.052,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0347983212296983,0.891133151808677,"Not structured"
"PCED1B-AS1",2.1988,1.4587882475385e-05,0.00129281056248523,0.243,0.066,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.000685388597825294,0.772919399504826,"Not structured"
"AC245060.5",2.1896,0.000452047441458844,0.0171691923479797,0.135,0.032,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.112258207334228,0.898447058254601,"Not structured"
"PSME2",-2.1668,0.000313948777765992,0.0131102379657673,0.081,0.384,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0828302649020252,0.891133151808677,"Not structured"
"ISG20",2.1191,9.39177432023362e-06,0.000872366224072405,0.324,0.109,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.140291706560105,0.100739331215966,"Not structured"
