"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","spatial_class"
"C4BPA",-0.5107,2.52816936524755e-05,0.00201646788572145,0.973,0.98,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS23",0.5037,0.00170062468953997,0.0463719688187039,0.973,0.826,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL23A",0.502,0.000426745227536786,0.0164583850232044,0.892,0.781,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"C5",-0.4998,0.000762160243926084,0.0257584326506544,0.865,0.937,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CP",-0.497,2.2313026014293e-08,4.63818821630936e-06,0.973,0.998,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"SERPINA3",-0.4951,3.39278510939323e-09,9.33132897673117e-07,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"HLA-E",0.4927,0.00028579579590436,0.0122554154200708,0.973,0.902,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS11",0.49,0.000643099103779783,0.0226962763351661,1,0.951,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"UBA52",0.4896,0.000324801306829497,0.0132852062731901,0.946,0.933,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL18A",0.4893,3.13803101794379e-06,0.00035888987455332,0.973,0.963,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"ORM2",-0.4866,2.64647198897215e-09,8.79510857668413e-07,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"SERPINF1",-0.4866,0.000567985608459409,0.020498883317069,0.865,0.926,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS18",0.4822,0.000268534944130575,0.0118333409634556,0.973,0.868,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"FGG",-0.48,5.51194488662728e-10,2.09348916265425e-07,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL19",0.4796,6.60180420401965e-05,0.00417904685168736,0.973,0.938,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"FTL",0.4731,2.89809439960326e-08,5.7788002328089e-06,1,0.999,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CYB5A",-0.4694,0.00125833324652603,0.03717209620108,0.865,0.917,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CFB",-0.4679,2.74276165686445e-07,4.37525339503017e-05,1,0.999,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL9",0.4591,8.65498827715673e-05,0.00511349529619275,1,0.974,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"MGST1",-0.4589,1.78249554192663e-05,0.00150004803960953,0.973,0.989,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"DCN",0.4543,2.1947811079763e-05,0.0017862830731856,1,0.906,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL12",0.4448,0.00145919333339472,0.0418652015365334,0.865,0.839,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CFHR2",-0.4416,0.000423627545642112,0.0164583850232044,1,0.972,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"ITIH3",-0.4365,3.58296739504715e-06,0.000402503492153465,1,0.998,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CYP2C9",-0.4309,0.000153675881011937,0.00761316041584603,0.973,0.986,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"C1QA",0.4299,0.000418956900233167,0.0163803933149987,0.973,0.889,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CYP2C8",-0.4256,1.22537975561635e-05,0.00109816055402203,0.973,0.994,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"IGFBP7",0.4247,0.000517633925868677,0.019114112003373,1,0.97,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CFH",-0.4242,0.000183629891226204,0.00882308441216991,1,0.977,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"APCS",-0.4182,0.00143711651093859,0.0413806544810332,0.946,0.972,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"SOD2",-0.415,0.00102144864652616,0.0322018751173622,0.946,0.95,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"MT1X",-0.4049,0.000337397353327235,0.0136603111174519,1,0.989,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"SERPINC1",-0.4023,0.000178509485447277,0.00862904033895443,1,0.99,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"MT1F",-0.4006,0.000455088022154635,0.0172027586004994,1,0.973,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"SERPINA1",-0.3925,2.7813782337663e-09,8.84347948049774e-07,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RACK1",0.3916,0.000798862393088514,0.026726739105279,0.973,0.936,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL36",0.3862,0.00123421024132229,0.0365950218765301,1,0.949,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"HLA-A",0.3812,0.000915146080073927,0.029671565588088,1,0.949,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"HPX",-0.3807,1.79323131099306e-05,0.00150004803960953,1,0.998,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"FABP1",-0.3699,1.55398785283752e-05,0.0013620447378277,1,0.999,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"FGB",-0.3698,9.17569636284355e-08,1.55713519553277e-05,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL41",0.3649,0.000317814937122041,0.013134155121686,1,0.99,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"GC",-0.3587,0.000282829070387559,0.0122554154200708,1,0.997,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL7",0.3523,0.000800863922537823,0.026726739105279,1,0.957,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"IGFBP1",-0.3494,0.00062425497580291,0.0221291452755734,1,0.994,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"EEF1A1",0.3446,1.00873754150376e-06,0.00014367304698275,1,0.999,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"PLG",-0.3417,7.88555183414588e-05,0.00469366876336922,1,0.996,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"TF",-0.3297,0.000541302893374083,0.0197143008107383,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS28",0.3252,0.0013233750371696,0.0386638802068304,1,0.98,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"C3",-0.321,6.73638161675405e-08,1.19398621722734e-05,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"MT2A",-0.3083,3.26959967872527e-08,6.36056757012507e-06,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CLU",-0.2857,0.000111427354500105,0.00612927296201957,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
