"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"LXN",1.1678,0.000895692719252164,0.0110664490199856,0.115,0.053,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0187180427203768,0.029533353424226,1.5296872373915,"Weakly structured"
"AC132872.1",1.1671,0.00243865822857999,0.0239159235548346,0.14,0.077,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00641318506680232,0.753782498828514,0.122753950131887,"Not structured"
"RELL1",1.1659,4.70721187526022e-06,0.00012048137851592,0.274,0.149,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00671157869282002,0.260090432860711,0.584875622553138,"Not structured"
"LSP1",1.1633,7.36969471344656e-05,0.00137153061758684,0.236,0.132,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.031682872764802,0.000609804347382312,3.21480948381219,"Weakly structured"
"GPSM3",1.1623,4.47081535569163e-05,0.000901643423678977,0.223,0.12,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0306348641865159,0.000886509771183892,3.05231647320705,"Weakly structured"
"B3GALT6",-1.1596,0.00522055255775173,0.0428813374117705,0.038,0.11,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00576569317529873,0.734737912602873,0.133867549907345,"Not structured"
"PIM2",1.1592,0.000537695597439035,0.00727643937735384,0.204,0.119,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0589087365969358,4.55617862614504e-10,9.34139925763324,"Weakly structured"
"NEDD4",-1.1559,0.00339065014633141,0.0310216058401337,0.038,0.116,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.000442542519412522,0.497326948530558,0.303358007124057,"Not structured"
"TPRN",-1.155,0.00150902022850392,0.0167299504691675,0.076,0.177,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00208860159973699,0.596261547224271,0.224563197306592,"Not structured"
"CDH19",1.1546,0.00384426369893033,0.0339724104885863,0.115,0.059,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00230744173905437,0.41921564017646,0.377562522981333,"Not structured"
