"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"UBL5",-0.4951,0.00419279644660988,0.043472269113447,0.453,0.598,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0753622825154524,5.61300092474436e-16,15.2508048862301,"Weakly structured"
"RPLP2",-0.495,1.8958131640316e-06,0.000129740190958346,1,0.994,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.437432972289084,0,472.341676254529,"Spatially structured"
"CD302",0.4888,0.00408487225994587,0.0427314816924326,0.419,0.264,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.156768970462479,1.22216499074513e-62,61.9128701609238,"Weakly structured"
"HSPB1",-0.4861,8.37598852775636e-06,0.000434047593119632,0.953,0.976,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.346717313086817,5.33030609495505e-298,297.273247850723,"Spatially structured"
"FGA",0.4835,7.64610007750925e-07,6.120293499542e-05,1,0.888,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.781889145490052,0,1504.79316867106,"Spatially structured"
"RPS6",-0.4827,0.000154511033812905,0.00371205471386242,0.988,0.999,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.550778242624941,0,747.811391220911,"Spatially structured"
"RPL23",-0.4813,4.9167798824301e-05,0.00160433677658586,0.965,0.968,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.330523061284639,5.05991632112969e-271,270.295856665289,"Spatially structured"
"KNG1",0.4774,2.49415772876369e-05,0.000985027490676937,0.919,0.706,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.62418911592689,0,959.586336358191,"Spatially structured"
"HSP90B1",-0.4694,0.000333582269662841,0.00678132663838405,0.826,0.885,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0585408324583604,2.37750186614806e-10,9.62387913350412,"Weakly structured"
"TMSB10",-0.468,7.56966781254288e-07,6.11370017472494e-05,1,0.999,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.598264985270396,0,882.105502973107,"Spatially structured"
"ATP5MC3",-0.4659,0.000916518636905962,0.0149392537815672,0.779,0.854,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.12830482267338,1.251307177855e-42,41.9026360641903,"Weakly structured"
"APOC3",0.463,1.74697701834901e-07,1.75973583926953e-05,1,0.92,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.829621291938851,0,1693.7974248995,"Spatially structured"
"RPL35A",-0.4626,0.000128187123028992,0.00327898225761328,0.988,0.981,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.387145880208347,0,370.31177643837,"Spatially structured"
"RPS15A",-0.4592,0.000231864464025639,0.00514521019799468,0.988,0.972,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.311169241860282,1.73156622006943e-240,239.761560895128,"Spatially structured"
"SERPINA3",0.4586,3.69569976340212e-06,0.000225387403938095,0.988,0.847,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.707984592979438,0,1234.17701277271,"Spatially structured"
"ITIH1",0.4578,0.000971942549510263,0.0155875938396413,0.709,0.527,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.410177025369843,0,415.386932975407,"Spatially structured"
"PTGES3",-0.4565,0.00385684174075529,0.0409190369300251,0.698,0.762,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.106000934226116,9.8361051188165e-30,29.0071768385874,"Weakly structured"
"RPS2",-0.4564,7.5682449862535e-07,6.11370017472494e-05,1,0.999,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.525818410537732,0,681.77991603283,"Spatially structured"
"RPSA",-0.4562,3.34779441563382e-05,0.0012186676623011,0.977,0.964,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.367063234445304,0,333.009136844055,"Spatially structured"
"ATP5F1D",-0.454,0.00480681432737672,0.0479344721300693,0.663,0.73,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0887052044915202,2.08784944185752e-21,20.6803008222062,"Weakly structured"
"SSR4",-0.4534,0.000304280696677171,0.00637354309745523,0.698,0.826,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.126926846446491,9.13899318303969e-42,41.0391016466223,"Weakly structured"
"RPS20",-0.4516,0.000156354468352028,0.00372797289568067,0.942,0.961,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.282456473149047,1.52950192786673e-198,197.815449971271,"Weakly structured"
"RPS24",-0.4473,0.00153711531795367,0.0217333303165708,0.977,0.986,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.45141570048691,0,502.909499145534,"Spatially structured"
"SLC38A2",0.446,0.000327667604755004,0.00672205967191902,0.86,0.653,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0868999364960582,1.27196618896412e-20,19.895524432824,"Weakly structured"
"RPL23A",-0.4448,0.000599391851101792,0.0108266770528287,0.977,0.958,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.3233984234587,1.50239922909745e-259,258.823214647921,"Spatially structured"
"NDUFA13",-0.4366,0.002699381922724,0.0319682416607935,0.686,0.783,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0395819533367651,1.24453639294448e-05,4.90499239915673,"Weakly structured"
"NNMT",0.436,4.81352030422623e-05,0.00159236935525418,0.988,0.804,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.656924032048212,0,1062.78748800077,"Spatially structured"
"P4HB",-0.4321,4.96826382998791e-05,0.00161378569695078,0.942,0.949,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.062998901375503,1.03547595275036e-11,10.9848599824384,"Weakly structured"
"CES1",0.4304,1.58027429888516e-05,0.000674626623309784,0.93,0.673,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.576079361918215,0,817.735046635413,"Spatially structured"
"FGL1",0.4286,0.000194983264117988,0.00447043323118675,0.942,0.751,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.586047104246015,0,846.193090757742,"Spatially structured"
"RPL29",-0.4285,8.56920331689483e-06,0.000438988044205498,1,0.994,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.393457724010207,0,382.436926626748,"Spatially structured"
"RPL35",-0.4264,7.36534827198044e-06,0.000388413807401792,1,0.995,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.335839675445477,9.50129445291878e-280,279.022217222557,"Spatially structured"
"FGB",0.4222,1.79569744581993e-06,0.000123834058475197,1,0.919,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.80599969978914,0,1598.84140670541,"Spatially structured"
"SAT1",-0.4215,4.02304363350373e-05,0.00137658725856339,0.942,0.973,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.190996571188223,6.21496782860799e-92,91.2065611151147,"Weakly structured"
