"from"	"to"	"source"	"database"
"Wnt10b"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt10b"	"FZD9_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt16"	"FZD9_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt2"	"FZD9_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt2b"	"FZD9_LRP6"	"WNT"	"cellchat"
